V160001,dislikeDems,rephatesdems,demhatesreps
300001,i see them trying take to much and give to the how would i put that give to the too much gving and enough able when should not,1,0
300002,,1,0
300004,their stand on health care//pro life//taxxes//and the economy//they cover up or try to cover up a lot//,1,0
300007,they have moved too far left and turned into more socialist than democratic...lot of entitlement with redistrubtion of wealth to pay for it//in general dont like the policies (we dont have the $$) to do the programs//,1,0
300018,The Affordable Care Act,1,0
300021,,1,0
300026,lot of backers are multi national corporations and may not have the interests of the Americcan people//,1,0
300040,Don't like their economic poilicies/,1,0
300042,Basically I feel they are in it for the money//,1,0
300045,dont like the ways some of them feel with our constitutional rights,1,0
300046,they go overboard in trying to help people that's a strain on our economy/,1,0
300049,,1,0
300050,their use of peoples vote to put themselves in office to keep a job the promises they make and dont keep//,1,0
300064,"doesnt matter what trump may say they are going to twist it and call him a sexist, racist, islamic phobic liar, s",1,0
300070,"they become too liberal and handout to everyone, and they are not taking care of the americans at home.//",1,0
300072,"don't believe in the work ethics, want people to depend on the democratics for free food , phones, education, housing//",1,0
300073,They seem to be more greedy//,1,0
300092,"healthcare, foreign policies,",1,0
300098,croupt more liberial,1,0
300099,,1,0
300103,poor immigration open boarders/oboma care poor leadership/,1,0
300106,everything,1,0
300111,They are too focused on taking my rights.//,1,0
300123,neither  one is willing to work with each other. no compromises for either one//,1,0
300124,Taxes. Gun rights. Health care.,1,0
300142,fighting t with the Republican party//,1,0
300148,"their views on like that everyone should get money no matter what also, typically it seems democratic party if more pro abortion and I'm definintely against that.",1,0
300153,,1,0
300172,dont like the entitlements that are given//,1,0
300179,DONT LIKE THE WAY THEY PICK CANIDEMNT,1,0
300187,"imperialist; globalist; militariast// identity poliltics; disabprove of the way Democrates exploit identity politics; // using categories like race, gender, class to divide people against each other;..",1,0
300195,"I don't like the concept of big government, don't like the fact that they have tense to create more law to control rather than fixing the issues that cause the problem in the first place//",1,0
300196,gotten too liberal and moving too far to socialism  I have not seen it work yet,1,0
300207,"i don't like the more liberal view that most democrats take. this progessive idea, in a way it's good but in many ways it creates a larger divide//",1,0
300210,They're greedy.//,1,0
300217,they are typically pro-choice which i don't life\\,1,0
300230,dont like them the last 40 tears,1,0
300240,,1,0
300242,i DON'T PATICULAR LIKE WHERE MY TAX MONEY IS GOING ONE OF MY MAIN REASONS,1,0
300244,I think they don't have a lot of backbone when it comes fto foreign affairs.  I think they favor to many entitlement programs.//,1,0
300250,,1,0
300255,,1,0
300259,they don't choose/I don't understand their logic/ I don't feel that I should keep paying for 10 children or if they feel Mossoluem and gays then you have to pick a side they confuss me,1,0
300261,"Um, well they always want to take care of the poor and there is no middle class. //",1,0
300267,They're in favore of the welfare system; or more of that. I don't like the fact they don't like the 2nd amendment. That's it. There's more but...//,1,0
300273,"THEY TEND TO BE PRO CHOICE NOT PRO LIFE, THEY WANT TO BE EVERY BODIES FRIEND, THEY WANT TO HAND OUT EVERTHING TO EVERYBODY//",1,0
300278,"Yeah, I would say UM, they really are not, how do I say it. I feel like they don't really care about the constitution and second ammendment.//Yes , and how they are protecting Hilary Clinton.//",1,0
300284,they are just out to take the people,1,0
300303,,1,0
300304,what they stand for,1,0
300307,it is time for achange//,1,0
300342,,1,0
300345,they are not enforcing the laws that are on the books//everythime there is a shooting they talk about gun control but its not the guns that are killing people it is people that are killing people//,1,0
300361,the fact that it is a party,1,0
300363,"Oh god i could be here all day, they are just hypocritical and let stuff sit on thier desk, just shove stuff through just the healthcare that they shoved that through and not a single repbulican voted for it//",1,0
300383,there stance on pro life issues and they vote to raise taxes and obama care,1,0
300387,THEIR LIBERAL LEANINGS\\,1,0
300393,I don't like their health care program.  How they're handling ISIS. Their educational plan. Dealings with foreign policy.//Honesty in our Democratic leaders.//,1,0
300400,it doesn't do any good to work hard in this country no one will ever strive to be more than medocre//,1,0
300402,,1,0
300453,Ihey all are politicians thay why I do not like this party//,1,0
300465,,1,0
300467,feel like it's gone too far left. It's nice to be lookinmg out for the little but when you champion the little guy over the main justice you champion the little guy over the others/ feel like they've lost the plot and now more focused on winning and it's about team than doing the best for the country and the individual/,1,0
300473,,1,0
300475,"Economic issues, foreign policy, military",1,0
300477,"spend too much money, too much involved in every facet of my life. I want them to leave me alone/fiscal policies are a determent to this country/",1,0
300497,,1,0
300501,no morals/they are for everything that's sin//,1,0
300503,They are not truthful.//That's it,1,0
300517,Heavy liberal stants//,1,0
300518,The liberal agenda especially with our courts. Non-biblical stance.  \\,1,0
300522,"bbasically their stance on womans abortion right, gun control, taxes, theor phylosicy//",1,0
300526,One thing I really don't like is that have to learn that we have to work together//They have lost sight of their constituints in try to do something to help them and to help this country//,1,0
300543,distrust//,1,0
300546,their answer to most social issues depends on the gov becoming involved in solving the problem at the national level//they have no clue about how to deal with foriegn countries in regards to our security long term//they don't have a high regard for enforching the laws currently on the books in this country//they generall interpret the constitution as a document that needs constant updating//,1,0
300552,They seem not to know how to stick to a budget.  They want to give away everything.  Where is the money to come from.//,1,0
300555,they want to take the money from all the people who hav emoney an give it to people who don't work for it//,1,0
300561,believe in big government and gve away programs and not balancin gthe budget,1,0
300565,"THE DISHONESTY AND THE COVERUPS AND THE NOT ANSWERING QUESTIONS DIRECTLY, ALL IF THE THINGS WE HAVE GONE THROUGH THE HEALTH CARE, ////",1,0
300569,"they are prgreessive too progressive and the abortion and I dont believe that we should we made to pay for the organizations that do abortions.  They are making tax payers pay for the planned parenthood// we are against abortion and democrats make us pay for it and ist not right, they have abused their power and they are excelent at coluting of examples of the tax scandals the justice department, they are not supposed to serve the president, they are supposed to serve the constitution// this could be an ongoing",1,0
300571,"I think they base some of their notions on the idea that people will do what is right, but their premise is wrong.  People by nature are sinners.//",1,0
300572,"They are pro-aboration, their foreign policy especially with Isralle, their welfare program//",1,0
300589,,1,0
300597,"I think they are trying to increase to many of the social programs. Social programs are good but there sshould be an end in sight, they shoulc try to find an end game and get people of these programs.  They should try to encourage you to go to work and I don't think the Democrates are encouraging the people to go to work and they remain on the programs.  Saw a bumper sticker that said keep working, people depend on you and it shoud not be that way.//",1,0
300600,,1,0
300601,,1,0
300603,"they claim to be helpful to the American people but since they've been in office for the last 8 years, 95 million people are unemployed.  Everything to do with the afro americans has gone in the wrong direction.  more on food stamps and the same with mexican americans//obama wants to bring in more people from other countries so there will be less jobs//they blame everybody else.  the democrats are always the ones that are behind the Kkk.  The started the KKK.  They're just mean cruel people.  They lie and try to blame...they will come up with anything to blame it on the other person//they are the richest people in this country.  they are not for the little man.  they like clinton line their own pockets at the expense of others.  they claim to be the party for the middle class african americans and mexican americans but they actually have don nothing but make things worse with their economic policies.  the american people are not informed enough to figure that out on their own because if they would not vote fo",1,0
300605,THEY WANT BIG GOVERNMENT// HIGHER TAXES FOR THE RICH SO THEY CAN GIVE OUR MONEY AWAY TO THE RICH//,1,0
300611,,1,0
300614,THEY ARE TOO LIBERAL//,1,0
300617,how they are supportive of abortion all the time,1,0
300621,"i dont like a lot of their views right now like economic, immigration and national serity,//",1,0
300628,they run on whatever is popular//i dont necessarilly believe they are for the people//they portray that but i dont believe it,1,0
300636,,1,0
300638,posiotions on economic issues//,1,0
300658,The way the democratic party handles the national finances. they throw money at things and we are so deeply in debt. When Reagan was president we were almost out of debt and now we are trillions of dollars in debt. thats very concerning to me. //,1,0
300663,too much free stuff //,1,0
300687,cause race relation to step back 20 years,1,0
300696,do not feel they are for the people and always talk about taking from the rich//they are too much into against religion want to be socialist// they are for gays/killing babies/,1,0
300699,too liberal//,1,0
300703,focus too much on things that do not matter like gun control and they are too involved with civil rights movements,1,0
300705,"their spending, it seems like they want to carter to small minority groups like lebiban, transgentder and they will allow those groups to tell us how to run the country\\",1,0
300717,"THEIR POLITICAL VIEWS AND PANDERING TO PEOPLE THAT WANT WANT A FREE RIDE LIKE OBAMA CARE\\ PEOPLE THAT CAN SUPPORT THEMSELVES, BUT DON'T FREELOADING",1,0
300721,,1,0
300723,There is a lot. I don't feel don't like how Obama has taken rights away from the states.  Examples are same sex marriage and the bathroom policies. Should be up to individdual states.  People will abuse this and it will cause problems.  //,1,0
300735,free handouts and government spending gun control//,1,0
300736,"they spend too much money, the money could be used somewhere else//",1,0
300747,"Their dishonesty, cutbacks in weapons, too weak// The democrats just don't care about protection for this counntry.//Don't like Obama health care program, too expensive.//",1,0
300750,"the spending, taxes, \\",1,0
300753,DONT THINK THEY DO WHAT I LIKE,1,0
300768,,1,0
300774,,1,0
300775,"Obama care,penalizing those who cannot health,dont like his presidential signature to pass things that gone before Congress and Senate,I dont want them taking my gun away//",1,0
300780,"extreme liberal party, its gotten so far right//",1,0
300785,they're for abortions//,1,0
300807,Social programs and cost to country//,1,0
300808,marriage and abortion//taxes,1,0
300813,not pro choice to for in debt,1,0
300820,,1,0
300864,yeah they took away all th health care and  benefits for the elderly. giving everthing to illegal immigrants and the elderly and disabled have to fend for themselves,1,0
300869,"Health care ideas, immigration ideas, welfare.// Allowing in tons of refugees, liberal flamboyant ideas supported with harsh critism again conversatives and those not like them.//",1,0
300873,to much spenting,1,0
300882,"Also, their lack of compromise with the Republican party and um,,, my dissatisfaction with some of the social programs and just the general feeling that a lot of their policies are geared toward basically getting into the personal lives of the people.  I guess more meaning, getting involved in the lives of citizens whether it be schools or business. That's all I can think of.//",1,0
300887,DO LIKE CONSERVTIT IDEASB THEYBHAVE,1,0
300890,Their liberal take on topics and legislation.//,1,0
300893,The funding of military.//,1,0
300900,,1,0
300910,THEY RUN UP THE DEBT  TOO HIGH//THEY GIVE TOO MUCH WELFARE//,1,0
300912,there is alot// to liberal,1,0
300925,They are consistently antifreedom.,1,0
300928,SPEND TOO MUCH MONEY,1,0
300937,Their lack of support for our military//their ideas of how to relieve the national debt,1,0
300947,"BIG GOV ENTITTLEMENT IMAGRATION ATTACK ON 2ND AMENDMENT RIGHT AND ATTACK ON RELIGON FREEDO,M//",1,0
300956,I don't like their platform that they stand on and believe in. //,1,0
300970,"Yes they want to control my life.//Well, that's the main thing.",1,0
300977,arrogance that know what is bettter for people than themselves. they are eliteist//horrible in economic and foreign policies//,1,0
300979,NATIONAL SECURITY IS NOT A PRIPORETE//,1,0
300982,"taxation programs, fiscal plans //",1,0
300983,"I think it changed alot since the years of Bill Clinton. it's getting quite radical.//It doesn't put the interests of its own country at the top instead of serving the whole world which is impossible.//It's too focused on idealogy, all kinds of things like the transgender issues.//The budgeting. There's no way in their policy to balance the budget.//",1,0
300991,everything//,1,0
301007,their deceitfulness//They think the American public are stupid and uninformed.//NO,1,0
301010,The methodoligy of implementation of their weel intention ideas always has to do with money nobody that I have hear from either party equate with [REDACTED NAME]'s money or [REDACTED NAME]'s money it's our money//,1,0
301014,"views on other things, gun laws taxes and what and how much should be given to who",1,0
301018,,1,0
301024,The part that they don't --it seems more like its their way than the American way.  They force issues that concern me.,1,0
301033,The thing I don't like about the Democratic Party is that they don't tend to reach to the other side of the aisle.,1,0
301047,everything//,1,0
301049,"way they've handled the military,veterans/budget isnot the best way/",1,0
301061,,1,0
301071,TO LIBERIAL,1,0
301086,,1,0
301093,"They come with saying different things but none of them have any idea about how they are going to raise te monety to pay for any of this, I don't know about you bujt I doi not remember anytihng extra coming home in my paycheck//You get a lot of educators strong behind the, but there are smart peple that coaling temselves a lot with the Democratic party but a lot is job security and we, I tink, that they also have to lookk at the greater good and we want to protect our familes and so forth ubt some of that basically is, we have to force our famlies to do the right thing to support our communities//",1,0
301094,corruption//falisfying the truth ingeneral or hiding the truth// thats referring to the election//,1,0
301100,They also don't represent the people. They are pushing toward socializm. Capitolism can't thrive when you are over taxed. They want the Govt to grow which is not constitutional. That's about it.,1,0
301101,they are way too liberal they want to incresase the size of government they want to increase taxes and they want to increase government spending//,1,0
301103,They chase the black vote..they chase what used to be the odd man out. Now that they gained the majority they pretty much chase the colored vote.//,1,0
