V160001,dislikeReps,demhatesreps,rephatesdems
300006,,1,0
300008,,1,0
300012,"I don't believe they stick together, they don't have each other's backs.//",1,0
300023,They have Donald rump as their candidate.//,1,0
300034,They aren't as responsive to pverty and racial issues.//,1,0
300039,Their support of guns//Their religiosity//In general they're attacting the safety net for lower middle class people//They are against gay marriage and gay rights//Their tendency toward promoting war as sort of a first response,1,0
300041,social issues relatiing to women/eduvation/healthcare,1,0
300058,"In general their wrong policies in respect to big business, in general not trustworthy//",1,0
300082,split in the republican party and concerned about their physical policies with tea party,1,0
300085,,1,0
300094,No diversity and they only favor the 1%//,1,0
300100,"dislike republican party, i think everybody should be equal across the board,treated as whole",1,0
300107,"unwillingness to compromise, they will take a stance just because the Democrat party is supporting it, unsympathetic to those less fortunate, they feel entitled to privileddges in America, they forgotten what this country is all about.",1,0
300113,I feel like they are for the rich than the working class/ their economics/I just don't agree with them,1,0
300119,,1,0
300121,The fact that they don't take care of special needs people not the top of their priority list they are more for the business class &wealthy,1,0
300131,They have a very conservative view of where they want the country to go. Static. Not inclusive.//Seem to be more about protecting the few that are wealthy.//,1,0
300137,Siempre ha sido un partido racista//ha sido un partido para los  blancos y los poderosos//,1,0
300140,They seem so fractured and disorganized that I can't respect their message or messages.//,1,0
300143,,1,0
300144,,1,0
300150,,1,0
300151,"i don;t like their selfishness, their lack of compassion, for those who are not like them, i feel they are stingy andnot tolerant\\",1,0
300152,there unwillingness to work across the isle//there unwillingness to confirm a supreme court appointee//i don't like their stance on the gay community//,1,0
300155,"Their prolife, climate change issues.//Economic policy",1,0
300165,The economy always seems to be worse under the Republicans--people don't seem to have jobs.  It seems we always owe a big debt under the Republicans.,1,0
300168,they like hold tthe country hostage to get their way//they're extremely mixed up and I don't believe there is a true republican party//,1,0
300169,I dont like that they are so conservative//,1,0
300170,they are helping themselves more//,1,0
300175,"a lot, their ppolicies in gerneral the conservative social policies, their inabvility to provide some kind of common man, tax policy// their inability to support , their religious strangle hold, republican is the olnly one with religious hold, republican party is not associated with the party",1,0
300177,they lookout more for themselves\\,1,0
300182,,1,0
300184,"Ss much as they say that they want to be inclusive, I think they still have difficulty making that believable.//I think as a party the immigration platform if you will the overwhelming view tends to be unrealistic and over the top as it relates to their policy regarding immigration.//Syill spend incrediblt too much money on defense as it relates to artillery, planes, the hardware the tradional way of building ones defewnse spending. Should spend a significantly higher proportion should be spent from a cyber standpoint.//",1,0
300185,"religious affiliations, particularly evangelical//individualistic",1,0
300186,the emfaces on big business and the conservativeness,1,0
300198,They put us into a recession that we have to dig out of//,1,0
300204,Use of dark money/possibility of corruption/,1,0
300215,,1,0
300222,"Their protection of the wealthy, financially and generally. Their views on women's rights to abort and marriage for everyone.//",1,0
300224,"The Republicans just seem to come off as old school and stagnant and not focused on what people want. It is more about what the wealthy clicques want. Whether or not that is 100% accurate, I don't know but that is what they project in my opinion.//They take care of their own not everybody.//",1,0
300228,I don't believe in their belief sytem// I dont like what they did to Obama,1,0
300234,Their social policies//,1,0
300237,"dogmatic, fearful, look at negative instead of positive, affraid of change, affraid of being vulneralbel//",1,0
300246,They dont really seem to care about the lower class.//,1,0
300254,,1,0
300270,double standards//no,1,0
300280,"the rpublican party stands for money, people that have lots of money or businesses that make lots of money they are very close minded to helping people in need//",1,0
300289,"I feel that we may have oinvolved the country in several large scale military operations to basically profit high level government officals and families and military weapons manufacturers.//I think that they are basically make up the military national complex. The military national complex is made up of people leaning to the right.//They seem to be slightly racist and more for the socially economically elite.//They cut governemtn programs, they mislead the publice about the budget. Social Securoty has nothing to do with the budget. Medicare and medicaid are safety nets that were created by new deal democrats and don't affect the budget.//",1,0
300299,birth control pro life issues,1,0
300312,their conservativism// staganation//,1,0
300317,"I think they give all the breaks to the rich people, the upper class//",1,0
300325,,1,0
300326,"I dislike the stonewalling politics for the past 8 years, it seems that they are putting Party above all else or Party above the health of our country & I would rather them focus on the conservitive principals of limited government and individual principals as a means to solving this counties problems//",1,0
300333,"both parties dont do nothing//vacations, raises, no matter how bad the economy is//debt not getting knocked down//",1,0
300334,"have not really seen a republican president that went out of their way to help people of my race, alot of them tend to have negative attitudes towards african americans and why they are where they are in society//",1,0
